遠東科技大學,06-597-9566,06-597-7050,74448 臺南市新市區中華路49號,http://www.feu.edu.tw/,遠東科大、遠科大
元培科技大學,03-610-2251,03-538-5353,30015 新竹市元培街306號,http://www.ypu.edu.tw/,元培科大
景文科技大學,02-8212-2000,02-8212-2199,23154 新北市新店區安忠路99號,http://www.just.edu.tw/,景文科大、景科大
中華醫事科技大學,06-267-1214 #0,06-335-6723,71703 臺南市仁德區文華一街89號,http://www.hwai.edu.tw/,華醫、華醫科大
東南科技大學,02-8662-5859,02-2662-4052,22202 新北市深坑區北深路三段152號,http://www.tnu.edu.tw/,東南科大
德明財經科技大學,02-2658-5801,02-2658-2507,11451 臺北市內湖區環山路一段56號,http://www.takming.edu.tw/,德明科大
明道學校財團法人明道大學,04-887-6660 #1532,04-887-9036,52345 彰化縣埤頭鄉文化路369號,http://www.mdu.edu.tw,(無)
康寧大學,06-255-2500,06-255-3086,70970 臺南市安南區安中路5段188號,http://www.ukn.edu.tw,(無)
南開科技大學,049-256-3489,049-256-3788,54243 南投縣草屯鎮中正路568號,http://www.nkut.edu.tw/,南開科大
中華學校財團法人中華科技大學,02-2782-1862,02-2788-9145,11581 臺北市南港區研究院路三段245號,http://www.cust.edu.tw/,中華科大
僑光科技大學,04-2701-6855,04-2707-5420,40721 臺中市西屯區僑光路100號,http://www.ocu.edu.tw/,僑光科大
廣亞學校財團法人育達科技大學,037-651-188,037-651-201,36143 苗栗縣造橋鄉談文村學府路168號,http://www.ydu.edu.tw/,育達科大
美和學校財團法人美和科技大學,08-779-9821 #8115,08-779-9711,91202 屏東縣內埔鄉美和村屏光路23號,http://www.meiho.edu.tw/,美和科大
吳鳳科技大學,05-226-7125,05-206-3455,62153 嘉義縣民雄鄉建國路二段117號,http://www.wfu.edu.tw/,吳鳳科大
環球學校財團法人環球科技大學,05-537-0988,05-537-0989,64063 雲林縣斗六市嘉東里鎮南路1221號,http://www.twu.edu.tw/,環球科大、環科大
台灣首府學校財團法人台灣首府大學,06-571-8888 #331,06-572-2858,72153 臺南市麻豆區南勢里168號,http://www.tsu.edu.tw,台首大
中州學校財團法人中州科技大學,04-835-9000 #1511,04-831-4515,51060 彰化縣員林鎮山腳路三段2巷6號,http://www.ccut.edu.tw/,中州科大
修平學校財團法人修平科技大學,04-2496-1100,04-2496-1187,41280 臺中市大里區工業路11號,http://www.hust.edu.tw/,修平科大
